circuit_name,backend,proof_size_bytes,verification_time_ms,proving_time_ms,gas_cost_on_base,constraint_count,trusted_setup,quantum_resistant,verified
MerkleProof,Groth16,2407,215,16091,0.002614,159059,True,False,True
RangeProof,PLONK,2954,13,2470,0.004868,60308,True,False,True
AgeVerify,STARK,23602,415,3957,0.009566,448586,False,True,True
VoteTally,Marlin,47552,20,29562,0.006268,70884,True,False,True
Identity,Halo2,22798,409,29462,0.007383,110730,False,False,True
Ownership,Groth16,3689,40,20184,0.004111,367338,True,False,True
MerkleProof,PLONK,648,474,1154,0.001764,132148,True,False,True
RangeProof,STARK,28366,398,23863,0.009629,49254,False,True,True
AgeVerify,Marlin,31961,47,795,0.007524,166293,True,False,True
VoteTally,Halo2,30347,359,28815,0.009352,278308,False,False,True
Identity,Groth16,4578,446,20811,0.007334,424903,True,False,True
Ownership,PLONK,2263,305,21833,0.000646,476998,True,False,True
MerkleProof,STARK,29489,468,6970,0.003546,328485,False,True,True
RangeProof,Marlin,6107,129,16482,0.00713,222411,True,False,True
AgeVerify,Halo2,24253,109,13682,0.003882,199343,False,False,True
VoteTally,Groth16,1355,301,15024,0.005566,293776,True,False,True
Identity,PLONK,3329,33,29018,0.005176,473399,True,False,True
Ownership,STARK,6900,321,28236,0.005456,330549,False,True,True
MerkleProof,Marlin,39114,397,9552,0.003217,88258,True,False,True
RangeProof,Halo2,16984,7,20486,0.002831,210466,False,False,True
AgeVerify,Groth16,1021,3,20549,0.009153,373913,True,False,True
VoteTally,PLONK,3147,319,9221,0.004577,105212,True,False,True
Identity,STARK,26584,140,8040,0.006467,271999,False,True,True
Ownership,Marlin,48467,117,16280,0.000325,12001,True,False,True
MerkleProof,Halo2,44164,498,8707,0.008451,49951,False,False,True
